loan_id,loan_amount,loan_date,loan_status
0000012160-01,300.0,2020-08-12,Paid off
0000135C65-03,600.0,2019-08-09,Paid off
0000135C65-04,600.0,2020-01-13,Paid off
00005D3F96-02,400.0,2019-07-02,Paid off
00005D3F96-03,400.0,2021-01-05,Paid off
0000714F14-01,400.0,2022-05-03,Paid off
0000714F14-02,800.0,2022-11-01,Charged off
000084D371-01,800.0,2023-12-11,Charged off
0000C4C4FF-01,600.0,2021-02-04,Charged off
0000CD5952-01,600.0,2022-11-04,Charged off
0000D1EC1F-03,800.0,2019-02-04,Charged off
0000D1EC1F-04,800.0,2021-06-11,Charged off
0000ED3EB1-01,500.0,2021-06-15,Charged off
0000F1A074-01,800.0,2021-10-18,Charged off
0000F1A074-02,600.0,2022-12-14,Charged off
000153EE52-01,800.0,2023-12-04,Paid off
0001B54BBC-01,600.0,2020-01-21,Paid off
000228D2C4-01,500.0,2023-02-14,Paid off
000228D2C4-02,800.0,2024-03-07,Paid off
00022E6750-01,800.0,2022-08-22,Paid off
00022E6750-02,800.0,2022-12-13,Settled
00026419AB-01,800.0,2023-01-18,Paid off
00026419AB-03,500.0,2024-04-29,Current
000353E5DA-01,800.0,2023-08-16,Paid off
00035BD2FF-03,800.0,2021-02-08,Paid off
00035BD2FF-04,1000.0,2023-01-30,Paid off
00035BD2FF-05,800.0,2024-02-12,Current
0003877C25-01,300.0,2020-02-10,Paid off
0003877C25-02,800.0,2020-10-05,Charged off
0003877C25-03,600.0,2022-02-01,Settled
00039408BA-05,500.0,2019-07-18,Paid off
00039408BA-06,500.0,2020-12-17,Paid off
00039408BA-07,400.0,2022-06-15,Paid off
00039408BA-08,500.0,2022-12-08,Paid off
00039408BA-09,500.0,2023-11-27,Current
0003CA8A65-01,500.0,2024-01-16,Paid off
0003F4E373-01,800.0,2024-02-06,Current
00042301A4-01,600.0,2020-03-11,Paid off
00042301A4-02,600.0,2021-12-21,Paid off
000437464B-01,600.0,2024-04-22,Current
00043D44FA-01,800.0,2022-12-13,Charged off
0004A78C48-01,600.0,2021-10-28,Paid off
0004A78C48-02,600.0,2023-03-24,Paid off
0004BF5796-02,500.0,2019-07-01,Paid off
0004CCDDBA-01,600.0,2021-10-28,Paid off
0004E2C54D-01,600.0,2020-06-01,Paid off
00050D2E0E-01,400.0,2024-02-09,Current
0006097571-01,800.0,2022-05-10,Paid off
0006097571-02,800.0,2023-04-03,Paid off
0006165046-03,1500.0,2023-09-05,Paid off
00062D0AE0-01,600.0,2021-07-19,Paid off
000637F0CE-01,800.0,2019-10-22,Paid off
000637F0CE-02,800.0,2020-09-21,Paid off
000637F0CE-03,800.0,2021-02-04,Paid off
0007297A2C-03,800.0,2019-06-17,Paid off
0007297A2C-04,600.0,2020-02-06,Paid off
0007297A2C-05,800.0,2020-12-10,Paid off
0007297A2C-06,800.0,2021-12-06,Paid off
0007297A2C-07,800.0,2022-01-20,Paid off
0007297A2C-08,800.0,2022-03-31,Paid off
0007297A2C-09,800.0,2022-04-21,Paid off
0007297A2C-10,1500.0,2023-01-31,Paid off
0007297A2C-11,1500.0,2023-11-21,Current
0007433D5A-01,800.0,2022-11-21,Paid off
000745113C-01,300.0,2022-08-12,Paid off
0007A6213C-03,800.0,2019-09-03,Charged off
0008751A44-01,800.0,2020-11-24,Paid off
0008751A44-02,800.0,2021-02-26,Paid off
0008E64EFF-01,600.0,2020-03-16,Paid off
0008F3668C-01,300.0,2019-12-31,Paid off
0008F3668C-02,300.0,2020-03-19,Paid off
0008F3668C-03,300.0,2020-09-08,Paid off
0008F3668C-04,300.0,2020-12-02,Paid off
00095778A5-01,300.0,2022-07-05,Paid off
0009752BB9-01,600.0,2023-06-08,Paid off
000997B1AB-01,600.0,2022-01-10,Paid off
0009F39323-01,300.0,2021-09-27,Paid off
000A561790-01,500.0,2022-06-27,Paid off
000A561790-02,500.0,2022-09-23,Paid off
000AB47760-01,600.0,2021-12-24,Paid off
000B899F04-01,800.0,2019-08-05,Paid off
000B95B101-01,800.0,2023-09-26,Paid off
000C92BB23-01,800.0,2024-01-02,Paid off
000C92BB23-02,800.0,2024-02-08,Paid off
000D5A006E-01,300.0,2022-07-25,Paid off
000D7A4C69-01,500.0,2022-08-17,Paid off
000DA70155-01,800.0,2020-07-27,Paid off
000DE9EBF2-01,600.0,2021-01-11,Paid off
000DE9EBF2-02,600.0,2021-05-28,Settled
000DE9EBF2-03,300.0,2022-02-23,Charged off
000DE9EBF2-04,600.0,2023-03-28,Charged off
000E053485-01,600.0,2020-06-16,Paid off
000E053485-02,700.0,2020-07-15,Paid off
000E053485-03,800.0,2020-10-13,Paid off
000E053485-04,800.0,2021-11-02,Paid off
000E0EFF78-01,600.0,2021-03-09,Paid off
000E14B1C6-05,300.0,2019-03-15,Paid off
000E14B1C6-06,400.0,2019-06-13,Paid off
000E14B1C6-07,500.0,2021-03-01,Paid off
000E14B1C6-08,800.0,2021-06-07,Paid off
000E14B1C6-09,400.0,2022-01-18,Paid off
000E14B1C6-10,500.0,2022-04-08,Paid off
000E14B1C6-11,1500.0,2022-04-26,Paid off
000E260A3F-03,300.0,2024-01-03,Paid off
000E286444-01,600.0,2022-10-11,Paid off
000F030113-01,400.0,2020-09-17,Paid off
000F56754F-02,300.0,2020-01-07,Paid off
000F841ABE-03,600.0,2019-12-04,Paid off
000F882957-01,800.0,2021-06-08,Paid off
00104EC24C-01,600.0,2020-01-31,Paid off
00104EC24C-02,1000.0,2023-03-13,Paid off
00104EC24C-03,1200.0,2024-01-22,Current
00109FFEB5-01,300.0,2021-08-09,Paid off
