id,loan_tag,loan_amount,contract_date,loan_rate,due_interest,principal_balance,loan_status,created,lastUpdated
ec0eb047-b627-53cf-9651-48f53cb94122,L-E027DDB2A6-02,400.00,2023-11-13,490.0000,0.00,0.00,Paid Off - Paid In Full,2024-06-19 16:32:30,2024-11-15 06:07:46
06da9048-0542-5f3c-81f1-7643d5535b2b,L-E02D2973AB-01,800.00,2024-04-09,490.0000,0.17,143.02,Open - Repaying,2024-06-19 16:32:54,2025-02-24 06:07:13
6cdaed69-bcbd-56be-b2ba-3d042beb3f3f,L-E02D4C3022-05,400.00,2024-03-18,460.0000,0.00,0.00,Paid Off - Paid In Full,2024-06-19 16:32:57,2024-11-15 06:09:17
a40266ac-c125-5d5e-b95d-acb9de8c9d85,L-E02DE38ADA-02,800.00,2024-04-10,460.0000,947.00,626.19,Closed - Charged-Off,2024-06-19 16:33:02,2025-02-15 06:07:41
be02014d-6a0c-5320-8014-3c11cfc86164,L-E030757135-05,1000.00,2023-06-30,460.0000,0.00,0.00,Paid Off - Paid In Full,2024-06-19 16:33:13,2024-12-21 06:13:46
9e5ddf3c-16dd-5b1f-9969-6feba0d526de,L-E034349F3D-01,500.00,2024-02-05,490.0000,0.00,0.00,Paid Off - Paid In Full,2024-06-19 16:33:35,2025-01-11 06:07:56
94c9bff8-d4b6-5fd1-bf9c-c42d1072e142,L-E034990A89-01,800.00,2024-04-18,490.0000,944.99,676.82,Closed - Charged-Off,2024-06-19 16:33:35,2024-12-14 19:41:30
4799e0dd-d962-531b-a935-25719f280492,L-E037CA276D-02,800.00,2023-12-26,460.0000,0.00,0.00,Paid Off - Paid In Full,2024-06-19 16:34:02,2024-11-15 06:09:06
cee0117f-6960-5b8d-8a28-40631e1f389f,L-E03908B47A-01,800.00,2023-12-20,490.0000,0.00,0.00,Paid Off - Paid In Full,2024-06-19 16:34:06,2024-12-20 06:07:50
0a6c4e8a-b7aa-5011-85b2-aec3cfebaafd,L-E0394CC2BB-11,1500.00,2024-01-12,99.0000,201.08,823.64,Closed - Charged-Off,2024-06-19 16:34:09,2025-01-05 19:50:10
f4696354-5a9c-5da2-9ef5-82e62e74e57f,L-E039FE915D-01,500.00,2024-01-12,490.0000,0.00,0.00,Paid Off - Paid In Full,2024-06-19 16:34:11,2024-11-15 06:06:01
c13fe3cf-5ac1-5d3a-8403-fea18e959428,L-E03AF2D827-03,1000.00,2023-11-22,460.0000,0.00,0.00,Paid Off - Paid In Full,2024-06-19 16:34:23,2024-11-15 06:06:42
90ded0ab-ad25-5402-8991-38160be82d0f,L-E03CFF57E7-01,400.00,2024-04-19,490.0000,401.59,287.62,Closed - Charged-Off,2024-06-19 16:34:33,2025-02-24 06:07:10
f6ee5b4e-6a8d-5bef-a341-0f4b8500fc0d,L-E03F53A554-02,500.00,2024-04-08,460.0000,0.00,0.00,Paid Off - Paid In Full,2024-06-19 16:34:45,2025-02-03 06:06:48
f2cb74a7-8070-51fa-9c24-74a2708ce6ba,L-E04028379E-01,800.00,2024-02-06,490.0000,0.00,0.00,Paid Off - Paid In Full,2024-06-19 16:34:46,2024-11-15 06:07:31
69c77094-5a3a-5500-8760-614b955a39f6,L-E040923790-01,600.00,2024-02-16,490.0000,683.73,420.92,Closed - Charged-Off,2024-06-19 16:34:51,2024-12-02 23:04:06
b458178b-5227-573e-9c7e-04d96be0f54f,L-E044510DCD-03,1000.00,2023-07-21,460.0000,0.00,0.00,Paid Off - Paid In Full,2024-06-19 16:35:15,2024-06-27 05:13:35
cdfd78c0-0310-57a9-9210-acc3efcb7db2,L-E044C37CC0-01,300.00,2023-12-22,490.0000,0.00,0.00,Paid Off - Paid In Full,2024-06-19 16:35:17,2024-11-15 06:06:48
7ceb7409-6c6a-5d77-acac-311dfb8676ec,L-E04685E6DE-01,800.00,2023-12-28,490.0000,0.00,0.00,Paid Off - Paid In Full,2024-06-19 16:35:30,2024-11-15 06:07:10
87a3f420-e846-5696-926e-cbfc4c7e7817,L-E06FF9CD84-06,1000.00,2024-03-18,438.0000,0.00,0.00,Paid Off - Paid In Full,2024-06-19 16:35:34,2024-11-15 06:06:03
4bd39852-1572-5adc-a463-428aa71ec03d,L-F0308DC873-01,800.00,2024-02-12,490.0000,0.00,116.35,Open - Repaying,2024-06-19 16:35:37,2025-02-24 06:08:04
f5450d20-7ab8-5047-b71f-14970adbd077,L-E071A6D83D-02,1000.00,2023-11-09,460.0000,0.00,0.00,Paid Off - Paid In Full,2024-06-19 16:35:41,2024-06-24 05:42:24
2d0b1bb1-eb6c-5079-8471-f20b33152f77,L-F0328ED968-01,800.00,2023-11-21,490.0000,0.00,0.00,Paid Off - Paid In Full,2024-06-19 16:35:49,2024-06-27 05:14:28
65c9ee6c-9470-588d-9ddd-7086df94751e,L-E07311A51E-03,800.00,2024-03-28,460.0000,0.00,0.00,Paid Off - Paid In Full,2024-06-19 16:35:57,2024-11-15 06:06:31
ad44972b-203e-5964-9d97-aca8134a9058,L-F032D7A04E-01,500.00,2024-01-09,490.0000,870.71,449.66,Closed - Charged-Off,2024-06-19 16:35:58,2024-12-02 23:31:26
03f5c560-a502-501e-ac31-f5a1a1c06f9e,L-E0736900BC-02,500.00,2024-01-23,460.0000,459.47,301.31,Closed - Charged-Off,2024-06-19 16:35:59,2024-12-02 22:59:54
610accad-d233-5946-a5a6-d9ea00cc2a5d,L-E04D2DE63C-07,800.00,2024-01-03,460.0000,0.00,0.00,Paid Off - Paid In Full,2024-06-19 16:36:06,2024-11-15 06:06:04
8d3ea1b9-5b5f-56c9-bb04-b274d6d82cac,L-E04EEE4C61-01,300.00,2023-10-31,490.0000,0.00,0.00,Paid Off - Paid In Full,2024-06-19 16:36:15,2024-11-15 06:09:27
b4f6cf3c-f4fe-57e3-817c-7f21f9a1c1bc,L-E0770C91EE-03,600.00,2023-12-04,460.0000,0.00,0.00,Paid Off - Paid In Full,2024-06-19 16:36:18,2024-11-15 06:06:34
fd018c77-d9c0-51c8-8139-72af7584f186,L-E0774FA3F2-04,500.00,2024-04-03,460.0000,0.00,194.37,Open - Repaying,2024-06-19 16:36:20,2025-02-24 14:04:59
cb00154c-bc27-595e-b10f-baf90e4f53d5,L-E07A89CAA7-03,800.00,2024-02-14,460.0000,0.00,0.00,Paid Off - Paid In Full,2024-06-19 16:36:33,2024-06-24 05:44:19
e92f8ee2-6788-5258-a1f6-b0359fca9cf5,L-E053787918-01,400.00,2024-04-04,490.0000,0.00,0.00,Paid Off - Paid In Full,2024-06-19 16:36:41,2025-02-11 06:06:07
e0223dc9-89a2-5acd-be38-7ebb14b633da,L-E07B9E4D4E-09,800.00,2024-04-17,460.0000,45.61,116.76,Open - Repaying,2024-06-19 16:36:41,2025-02-24 06:06:47
475c83d6-bd3a-5f8c-97a7-20e2b2118abc,L-E07C21D2E3-03,800.00,2024-01-08,460.0000,0.00,0.00,Paid Off - Paid In Full,2024-06-19 16:36:43,2024-11-15 06:06:34
0921eb4d-90d0-5ab2-a225-25fac7c2497b,L-F039A15BFD-02,1000.00,2024-02-29,460.0000,0.00,0.00,Paid Off - Paid In Full,2024-06-19 16:36:45,2024-11-15 06:07:03
e5b039b6-a3fd-5c9f-a874-d68bb4a4040a,L-E07D42A616-01,600.00,2024-04-12,490.0000,490.82,354.96,Open - Repaying,2024-06-19 16:36:51,2025-02-24 06:06:33
5c8da05c-12db-5f4d-8c8d-ef988852d2c3,L-F03ABDE12E-06,1000.00,2023-11-09,460.0000,0.00,0.00,Paid Off - Paid In Full,2024-06-19 16:36:52,2024-11-15 06:06:12
cc77b0ff-3a88-5857-ba0b-65e8d307d6f5,L-F03B6C24E6-03,500.00,2024-01-12,460.0000,0.00,0.00,Paid Off - Paid In Full,2024-06-19 16:36:57,2025-02-09 06:07:58
b313d9ee-26f8-55f2-9b91-c45d75412794,L-F03B8461CA-02,800.00,2023-12-26,460.0000,750.58,572.69,Closed - Charged-Off,2024-06-19 16:36:58,2024-11-06 06:06:30
71d1b1db-ffeb-5298-8a11-d67e8b874535,L-F03BB078F2-01,700.00,2023-12-29,490.0000,921.31,624.65,Closed - Charged-Off,2024-06-19 16:36:59,2024-11-26 22:47:30
9374f035-06b6-5f88-9f12-e67639a7135a,L-E057721548-02,800.00,2023-10-25,460.0000,0.00,0.00,Paid Off - Paid In Full,2024-06-19 16:37:12,2024-11-15 06:06:13
