id,idLoan,amtLoan,dtLoan,rtLoan,balInt,balPrin,idCust,stsLoan,created_at,updated_at
8981605,0000012160-01,300.00,2020-08-12,490.00,0.00,0.00,0000012160,Paid off,2020-08-11 19:09:46.000000,2023-02-21 08:08:38.000000
6773921,0000135C65-03,600.00,2019-08-09,0.00,0.00,0.00,0000135C65,Paid off,2019-08-08 17:52:04.000000,2023-02-21 08:08:39.000000
7758424,0000135C65-04,600.00,2020-01-13,0.00,0.00,0.00,0000135C65,Paid off,2020-01-13 15:02:54.000000,2023-02-21 08:08:39.000000
6566988,00005D3F96-02,400.00,2019-07-02,0.00,0.00,0.00,00005D3F96,Paid off,2019-07-01 15:13:04.000000,2023-02-21 08:08:39.000000
10351867,00005D3F96-03,400.00,2021-01-05,0.00,0.00,0.00,00005D3F96,Paid off,2021-01-05 05:03:59.000000,2023-02-21 08:08:39.000000
14990954,0000714F14-01,400.00,2022-05-03,0.00,0.00,0.00,0000714F14,Paid off,2022-05-03 02:55:23.000000,2023-02-21 08:08:39.000000
17759452,0000714F14-02,800.00,2022-11-01,0.00,1045.27,797.50,0000714F14,Charged off,2022-10-31 21:45:30.000000,2024-07-06 07:02:43.010828
22925052,000084D371-01,800.00,2023-12-11,0.00,1074.43,769.56,000084D371,Charged off,2023-12-11 02:46:14.031022,2024-07-06 07:02:43.034101
10615900,0000C4C4FF-01,600.00,2021-02-04,0.00,809.67,579.92,0000C4C4FF,Charged off,2021-02-03 21:38:30.000000,2024-07-06 07:02:43.055804
17814083,0000CD5952-01,600.00,2022-11-04,0.00,934.39,596.88,0000CD5952,Charged off,2022-11-04 17:45:18.000000,2024-07-06 07:02:43.077653
5825803,0000D1EC1F-03,800.00,2019-02-04,0.00,1254.34,800.00,0000D1EC1F,Charged off,2019-02-01 23:11:52.000000,2024-07-06 07:02:43.107176
11609251,0000D1EC1F-04,800.00,2021-06-11,0.00,785.71,790.92,0000D1EC1F,Charged off,2021-06-10 22:52:16.000000,2024-07-06 07:02:43.146769
11644685,0000ED3EB1-01,500.00,2021-06-15,0.00,640.17,458.52,0000ED3EB1,Charged off,2021-06-14 18:02:27.000000,2024-07-06 07:02:43.173046
13161737,0000F1A074-01,800.00,2021-10-18,0.00,1131.65,722.85,0000F1A074,Charged off,2021-10-17 23:13:24.000000,2024-07-06 07:02:43.191844
18429659,0000F1A074-02,600.00,2022-12-14,0.00,775.56,555.49,0000F1A074,Charged off,2022-12-14 02:45:22.000000,2024-07-06 07:02:43.212400
22831142,000153EE52-01,800.00,2023-12-04,490.00,0.00,0.00,000153EE52,Paid off,2023-12-04 02:45:48.647229,2024-02-08 08:03:21.054342
7791738,0001B54BBC-01,600.00,2020-01-21,0.00,0.00,0.00,0001B54BBC,Paid off,2020-01-18 14:31:10.000000,2023-02-21 08:08:39.000000
19241438,000228D2C4-01,500.00,2023-02-14,0.00,0.00,0.00,000228D2C4,Paid off,2023-02-14 02:45:21.000000,2024-02-23 08:03:23.241558
23801085,000228D2C4-02,800.00,2024-03-07,460.00,0.00,0.00,000228D2C4,Paid off,2024-03-07 18:45:19.491020,2024-05-23 07:03:00.320246
16653242,00022E6750-01,800.00,2022-08-22,0.00,0.00,0.00,00022E6750,Paid off,2022-08-19 21:45:32.000000,2023-02-21 08:08:39.000000
18416998,00022E6750-02,800.00,2022-12-13,0.00,0.00,0.00,00022E6750,Settled,2022-12-13 18:45:13.000000,2024-07-06 07:02:43.392648
18935180,00026419AB-01,800.00,2023-01-18,0.00,0.00,0.00,00026419AB,Paid off,2023-01-18 13:45:14.000000,2023-11-24 08:03:15.413583
24170283,00026419AB-03,500.00,2024-04-29,490.00,70.46,500.00,00026419AB,Current,2024-04-29 01:45:12.897861,2024-07-06 07:02:43.469585
21495046,000353E5DA-01,800.00,2023-08-16,0.00,0.00,0.00,000353E5DA,Paid off,2023-08-16 17:45:14.208787,2023-09-13 07:03:05.295729
10636560,00035BD2FF-03,800.00,2021-02-08,0.00,0.00,0.00,00035BD2FF,Paid off,2021-02-06 19:36:55.000000,2023-02-21 08:08:39.000000
19070020,00035BD2FF-04,1000.00,2023-01-30,0.00,0.00,0.00,00035BD2FF,Paid off,2023-01-30 18:45:30.000000,2024-02-02 08:03:22.891001
23622692,00035BD2FF-05,800.00,2024-02-12,460.00,81.36,332.75,00035BD2FF,Current,2024-02-12 18:45:20.729979,2024-07-06 07:02:43.674247
7919373,0003877C25-01,300.00,2020-02-10,0.00,0.00,0.00,0003877C25,Paid off,2020-02-07 17:46:33.000000,2023-02-21 08:08:39.000000
9492066,0003877C25-02,800.00,2020-10-05,0.00,0.00,0.00,0003877C25,Charged off,2020-10-05 13:48:18.000000,2023-04-17 07:02:51.000000
