id,idLoan,txtTranType,amtPrin,amtInt,dtPost,dtEffect,dtReverse,created_at,updated_at
43015174,50421D2546-01,pay,0.00,-157.47,2020-06-26,2020-06-26,2020-07-01,2020-06-26,2020-06-26
72300995,F03BB078F2-01,pay,-17.05,-117.40,2024-05-17,2024-05-17,2024-05-22,2024-05-17,2024-05-17
60760228,7003D4D587-01,pay,0.00,-115.97,2023-02-17,2023-02-17,2023-02-22,2023-02-17,2023-02-17
70470668,200536C707-01,pay,-529.79,-199.15,2024-03-14,2024-03-14,2024-03-14,2024-03-12,2024-03-12
38150277,201CF3DEF6-01,pay,-108.00,-320.02,2019-08-06,2019-08-06,2019-08-07,2019-08-05,2019-08-05
52571403,B000E58240-06,pay,-31.00,-128.32,2022-01-25,2022-01-25,2022-01-28,2022-01-25,2022-01-25
48201014,D0054339C8-04,pay,0.00,-152.28,2021-06-17,2021-06-17,2021-06-22,2021-06-17,2021-06-17
66523975,90289723C5-01,pay,-8.90,-130.89,2023-10-27,2023-10-27,2023-10-31,2023-10-27,2023-10-27
62341541,10107DF5AE-14,pay,-88.71,0.00,2023-05-05,2023-05-05,2023-05-09,2023-05-05,2023-05-05
40145458,E0024E8AAE-02,pay,-43.20,-212.80,2019-12-02,2019-12-02,2019-12-03,2019-12-02,2019-12-02
61352675,400951A332-04,pay,0.00,-167.57,2023-03-17,2023-03-17,2023-03-22,2023-03-17,2023-03-17
44699134,D00935AE25-01,pay,-161.57,-30.37,2020-11-06,2020-11-06,2020-11-12,2020-11-06,2020-11-06
35637884,900FFD95E1-03,pay,0.00,-164.63,2019-04-04,2019-04-04,2019-04-08,2019-04-04,2019-04-04
70940316,A03B596BD1-01,pay,-21.66,-122.00,2024-03-29,2024-03-29,2024-04-03,2024-03-29,2024-03-29
58450768,A001B042D5-02,pay,0.00,-123.27,2022-11-14,2022-11-14,2022-11-17,2022-11-14,2022-11-14
69879946,00104EC24C-03,pay,0.00,-223.05,2024-02-22,2024-02-22,2024-02-27,2024-02-22,2024-02-22
70810902,50171BB434-06,pay,-27.56,-97.20,2024-03-25,2024-03-25,2024-03-25,2024-03-25,2024-03-25
71910066,7064A426D6-06,pay,-13.10,-136.73,2024-05-03,2024-05-03,2024-05-08,2024-05-03,2024-05-03
40561841,60043D636C-01,pay,0.00,-63.45,2019-12-27,2019-12-27,2020-01-02,2019-12-27,2019-12-27
44070413,E008D939BF-02,pay,0.00,-149.96,2020-09-25,2020-09-25,2020-09-30,2020-09-25,2020-09-25
71506141,108FFED61C-03,pay,-21.43,-303.15,2024-04-19,2024-04-19,2024-04-23,2024-04-19,2024-04-19
51585592,7000B0F162-01,pay,-52.03,-105.45,2021-12-08,2021-12-08,2021-12-08,2021-12-08,2021-12-08
64246045,102B931C18-01,pay,0.00,-89.67,2023-09-05,2023-09-05,2023-09-05,2023-08-01,2023-08-01
62625672,700065E6E5-02,pay,-1.85,-55.80,2023-05-19,2023-05-19,2023-05-23,2023-05-19,2023-05-19
67605404,60485A7569-02,pay,0.00,-68.00,2023-12-22,2023-12-22,2023-12-28,2023-12-05,2023-12-05
61502109,A00063C6B6-01,pay,0.00,-119.00,2023-03-24,2023-03-24,2023-03-29,2023-03-24,2023-03-24
64816967,1006B03AF3-03,pay,0.00,-121.85,2023-08-25,2023-08-25,2023-08-29,2023-08-25,2023-08-25
71866014,7037AB6D1D-06,pay,-95.02,-204.47,2024-05-02,2024-05-02,2024-05-02,2024-05-02,2024-05-02
72534115,F03B6C24E6-03,pay,-29.85,-142.58,2024-05-28,2024-05-28,2024-05-31,2024-05-28,2024-05-28
68499545,A0455DC5AC-01,pay,-25.78,-118.26,2024-01-05,2024-01-05,2024-01-10,2024-01-05,2024-01-05
60867225,7005936A65-11,pay,-35.74,-60.34,2023-02-23,2023-02-23,2023-02-27,2023-02-23,2023-02-23
